Block Column	Block Row	Column	Row	Reporter Name	Reporter Database Entry[sgd]	Reporter Database Entry[image]	Reporter Database Entry[locus]	Reporter Database Entry[embl]	Control Type	Composite Element Name	Composite Element Database Entry[sgd]	Composite Element Database Entry[embl]	Composite Element Database Entry[locus]	Composite Element Database Entry[unigene:184:184]	Composite Element Database Entry[unigene:186:186]	Composite Element Comment
2	6	12	26	1729/MAGE.Reporter	YML034W					gene:SRC1/MAGE.CompositeSequence	S000004497					
2	9	14	26	1347/MAGE.Reporter	YLR138W					gene:NHA1/MAGE.CompositeSequence	S000004128					
3	2	9	26	2794/MAGE.Reporter	YOR046C					gene:DBP5/MAGE.CompositeSequence	S000005572					
4	4	15	26	1687/MAGE.Reporter	YML069W					gene:POB3/MAGE.CompositeSequence	S000004534					
4	7	9	26	1272/MAGE.Reporter	YLR071C					gene:RGR1/MAGE.CompositeSequence	S000004061					
4	1	13	26	1322/MAGE.Reporter	YLR116W					gene:MSL5/MAGE.CompositeSequence	S000004106					
1	4	13	26	2862/MAGE.Reporter	YOR107W					gene:RGS2/MAGE.CompositeSequence	S000005633					
2	5	9	26	1283/MAGE.Reporter	YLR082C					gene:SRL2/MAGE.CompositeSequence	S000004072					
2	11	12	26	1321/MAGE.Reporter	YLR115W					gene:CFT2/MAGE.CompositeSequence	S000004105					
1	1	14	26	2239/MAGE.Reporter	YNL215W					gene:IES2/MAGE.CompositeSequence	S000005159					
4	7	13	26	1325/MAGE.Reporter	YLR119W					gene:SRN2/MAGE.CompositeSequence	S000004109					
3	9	15	26	2227/MAGE.Reporter	YNL225C					gene:CNM67/MAGE.CompositeSequence	S000005169					
1	9	11	26	2266/MAGE.Reporter	YNL189W					gene:SRP1/MAGE.CompositeSequence	S000005133					
3	5	16	26	2223/MAGE.Reporter	YNL229C					gene:URE2/MAGE.CompositeSequence	S000005173					
1	1	16	26	2213/MAGE.Reporter	YNL239W					gene:LAP3/MAGE.CompositeSequence	S000005183					
3	5	9	26	2309/MAGE.Reporter	YNL151C					gene:RPC31/MAGE.CompositeSequence	S000005095					
3	2	12	26	2828/MAGE.Reporter	YOR076C					gene:SKI7/MAGE.CompositeSequence	S000005602					
3	1	15	26	2232/MAGE.Reporter	YNL221C					gene:POP1/MAGE.CompositeSequence	S000005165					
4	3	9	26	1269/MAGE.Reporter	YLR069C					gene:MEF1/MAGE.CompositeSequence	S000004059					
1	1	10	26	2290/MAGE.Reporter	YNL167C					gene:SKO1/MAGE.CompositeSequence	S000005111					
1	8	15	26	2892/MAGE.Reporter	YOR133W					gene:EFT1/MAGE.CompositeSequence	S000005659					
