clone.id	gene.name	unigene.id	genbank.acc
129865	STK15	Hs.48915	R11407
744047	PLK	Hs.77597	AA629262
769921	UBCH10	Hs.93002	AA430504
590774	MAPK13	Hs.178695	AA157499
898286	CDC2	Hs.184572	AA598974
825470	TOP2A	Hs.156346	AA504348
727526	CENPE	Hs.75573	AA402431
366971	TOP2A	Hs.156346	AA026682
882510	KPNA2	Hs.159557	AA676460
292936	FLJ10468	Hs.48855	N63744
455128	CCNF	Hs.1973	AA676797
66406	DKFZp762E1312	Hs.104859	T66935
725454	CKS2	Hs.83758	AA292964
232837	C20ORF1	Hs.9329	H73329
781047	BUB1	Hs.98658	AA430092
301388	TOP2A	Hs.156346	AI734240
359119	CKS2	Hs.83758	AA010065
51532	ARL6IP	Hs.75249	H20558
126650	L2DTL	Hs.126774	R06900
209066	STK15	Hs.48915	H63492
810600	E2-EPF	Hs.174070	AA464019
146882	UBCH10	Hs.93002	R80790
788256	KNSL5	Hs.270845	AA452513
435076	CENPF	Hs.77204	AA701455
950690	CCNA2	Hs.85137	AA608568
712505	CDC2	Hs.184572	AA278152
610362	HMMR	Hs.72550	AA171715
686172	KIAA0008	Hs.77695	AA262211
131316	HSPC145	Hs.18349	R22949
246808	FLJ20510	Hs.6844	N53214
731095		Hs.234545	AA421171
115443	HSPC216	Hs.13525	T87341
759873	P37NB	Hs.155545	AA423870
898062	CDC20	NA	NA
68950	CCNE1	Hs.9700	T54121
194656		Hs.221754	R84407
258761	FLJ11252	Hs.23495	N30185
951241	LOC51203	Hs.279905	AA620485
773147	FLJ10491	Hs.274283	AA425404
825606	KNSL1	Hs.8878	AA504625
2017415	CENPA	Hs.1594	AI369629
200402		Hs.70704	R96941
204214	CDC6	Hs.69563	H59203
810209		Hs.112160	AA464521
565734		Hs.48480	AA135809
795936	TSN	Hs.75066	AA460927
824962	KPNA2	Hs.159557	AA489087
624627	RRM2	Hs.75319	AA187351
645565		Hs.14119	AA204830
36374	CCNB1	Hs.23960	R25788
2019372	GTSE1	Hs.122552	AI369284
1540227	C20ORF1	Hs.9329	AA936183
705064	TACC3	Hs.104019	AA279990
236142	E2F1	Hs.96055	H61303
842968	BUB1B	Hs.36708	AA488324
511096		Hs.19322	AA088457
244767	KIAA0074	Hs.1192	N54344
713236	MPHOSPH1	Hs.240	AA282935
128711	ANLN	Hs.62180	R12261
796694	BIRC5	Hs.1578	AA460685
781089	PTTG1	Hs.252587	AA430032
853066	KIAA0159	Hs.5719	AA668256
415064		Hs.18714	W93120
128947	HMMR	Hs.72550	R10284
1540236	DKFZp762E1312	Hs.104859	AA936181
71902	CKAP2	Hs.24641	T52152
418150	RA-regulated	NA	NA
815287	SMAP	Hs.5464	AA481555
824753	FLJ22624	Hs.166425	AA488791
281898	CKS1	Hs.77550	N48162
415089	NEK2	Hs.153704	W93379
510228	antigen	NA	NA
2062329	TTK	Hs.169840	AI337292
45138	VEGFC	Hs.79141	H07899
700792	CDKN3	Hs.84113	AA284072
196303		Hs.234545	R92435
357373		NA	NA
723930		Hs.245342	AA235662
1035796	HSPC145	Hs.18349	AA628867
415264	HSU54999	Hs.278338	W92010
134482	FLJ20333	Hs.79828	R27552
292933	KNSL2	Hs.20830	N69491
1862628		Hs.133294	AI053446
243135		Hs.41294	H95819
785459	SMTN	Hs.149098	AA449234
297178	FLJ23311	Hs.94292	N73916
1292535	USF1	Hs.247842	AA719022
461933	LOC51203	Hs.279905	AA779949
429323	ADH4	Hs.1219	AA007395
1564601		Hs.186579	AA960844
856289	CCNB2	Hs.194698	AA774665
743810		Hs.30114	AA634371
811069		Hs.99480	AA485454
511786		Hs.114905	AA088442
789182	PCNA	Hs.78996	AA450264
531402		NA	NA
785897	GTSE1	Hs.122552	AA449474
703633	CKS1	Hs.77550	AA278629
786067	CDC25B	Hs.153752	AA448659
824913		Hs.99807	AA489023
43229	PCNA	Hs.78996	H05891
42831	LTBP3	Hs.289019	R60197
308478		Hs.5855	N95578
1536451		Hs.126714	AA919126
46862	CIT	Hs.15767	H10788
489489	LBR	Hs.152931	AA099136
768260	E2F1	Hs.96055	AA424949
435334		NA	NA
291057	CDKN2C	Hs.4854	N72115
241029	STK12	Hs.180655	H81023
431242		Hs.111471	AA682533
814995		Hs.44269	AA465090
843049	MCM4	Hs.154443	AA485983
814270	PMSCL1	Hs.91728	AA458994
769513	MKI67	Hs.80976	AA425973
1861173		Hs.133294	AI144063
48398	CDC25B	Hs.153752	H14343
564803	FOXM1	Hs.239	AA129552
1694526	FLJ11029	Hs.274448	AI124082
256664	H2AFX	Hs.147097	H95392
