UpperName	miRGate.name	Accession	Name
HSA-MIR-200B-3P	hsa-mir-200b-3p	MIMAT0000318	hsa-miR-200b-3p
HSA-MIR-200A-3P	hsa-mir-200a-3p	MIMAT0000682	hsa-miR-200a-3p
HSA-MIR-34A-5P	hsa-mir-34a-5p	MIMAT0000255	hsa-miR-34a-5p
HSA-MIR-34A-3P	hsa-mir-34a-3p	MIMAT0004557	hsa-miR-34a-3p
HSA-MIR-3605-3P	hsa-mir-3605-3p	MIMAT0017982	hsa-miR-3605-3p
HSA-MIR-30E-3P	hsa-mir-30e-3p	MIMAT0000693	hsa-miR-30e-3p
HSA-MIR-30C-1-3P	hsa-mir-30c-1-3p	MIMAT0004674	hsa-miR-30c-1-3p
HSA-MIR-101-3P	hsa-mir-101-3p	MIMAT0000099	hsa-miR-101-3p
HSA-MIR-197-3P	hsa-mir-197-3p	MIMAT0000227	hsa-miR-197-3p
HSA-MIR-942-5P	hsa-mir-942-5p	MIMAT0004985	hsa-miR-942-5p
HSA-MIR-9-5P	hsa-mir-9-5p	MIMAT0000441	hsa-miR-9-5p
HSA-MIR-556-3P	hsa-mir-556-3p	MIMAT0004793	hsa-miR-556-3p
HSA-MIR-488-3P	hsa-mir-488-3p	MIMAT0004763	hsa-miR-488-3p
HSA-MIR-181A-5P	hsa-mir-181a-5p	MIMAT0000256	hsa-miR-181a-5p
HSA-MIR-135B-5P	hsa-mir-135b-5p	MIMAT0000758	hsa-miR-135b-5p
HSA-MIR-1296-3P	hsa-mir-1296-3p	MIMAT0026637	hsa-miR-1296-3p
HSA-MIR-1287-5P	hsa-mir-1287-5p	MIMAT0005878	hsa-miR-1287-5p
HSA-MIR-3158-3P	hsa-mir-3158-3p	MIMAT0015032	hsa-miR-3158-3p
HSA-MIR-548E-3P	hsa-mir-548e-3p	MIMAT0005874	hsa-miR-548e-3p
HSA-MIR-202-5P	hsa-mir-202-5p	MIMAT0002810	hsa-miR-202-5p
HSA-MIR-210-5P	hsa-mir-210-5p	MIMAT0026475	hsa-miR-210-5p
HSA-MIR-129-5P	hsa-mir-129-5p	MIMAT0000242	hsa-miR-129-5p
HSA-MIR-6503-5P	hsa-mir-6503-5p	MIMAT0025462	hsa-miR-6503-5p
HSA-MIR-1908-5P	hsa-mir-1908-5p	MIMAT0007881	hsa-miR-1908-5p
HSA-MIR-192-5P	hsa-mir-192-5p	MIMAT0000222	hsa-miR-192-5p
HSA-MIR-194-3P	hsa-mir-194-3p	MIMAT0004671	hsa-miR-194-3p
HSA-MIR-139-5P	hsa-mir-139-5p	MIMAT0000250	hsa-miR-139-5p
HSA-MIR-139-3P	hsa-mir-139-3p	MIMAT0004552	hsa-miR-139-3p
HSA-MIR-34B-3P	hsa-mir-34b-3p	MIMAT0004676	hsa-miR-34b-3p
HSA-MIR-34C-3P	hsa-mir-34c-3p	MIMAT0004677	hsa-miR-34c-3p
HSA-LET-7A-2-3P	hsa-let-7a-2-3p	MIMAT0010195	hsa-let-7a-2-3p
HSA-MIR-100-3P	hsa-mir-100-3p	MIMAT0004512	hsa-miR-100-3p
HSA-MIR-200C-3P	hsa-mir-200c-3p	MIMAT0000617	hsa-miR-200c-3p
HSA-MIR-141-5P	hsa-mir-141-5p	MIMAT0004598	hsa-miR-141-5p
HSA-MIR-141-3P	hsa-mir-141-3p	MIMAT0000432	hsa-miR-141-3p
HSA-MIR-615-5P	hsa-mir-615-5p	MIMAT0004804	hsa-miR-615-5p
HSA-MIR-616-3P	hsa-mir-616-3p	MIMAT0004805	hsa-miR-616-3p
HSA-MIR-26A-5P	hsa-mir-26a-5p	MIMAT0000082	hsa-miR-26a-5p
HSA-MIR-331-3P	hsa-mir-331-3p	MIMAT0000760	hsa-miR-331-3p
HSA-MIR-3613-3P	hsa-mir-3613-3p	MIMAT0017991	hsa-miR-3613-3p
HSA-MIR-16-5P	hsa-mir-16-5p	MIMAT0000069	hsa-miR-16-5p
HSA-MIR-16-1-3P	hsa-mir-16-1-3p	MIMAT0004489	hsa-miR-16-1-3p
HSA-MIR-15A-5P	hsa-mir-15a-5p	MIMAT0000068	hsa-miR-15a-5p
HSA-MIR-15A-3P	hsa-mir-15a-3p	MIMAT0004488	hsa-miR-15a-3p
HSA-MIR-17-5P	hsa-mir-17-5p	MIMAT0000070	hsa-miR-17-5p
HSA-MIR-17-3P	hsa-mir-17-3p	MIMAT0000071	hsa-miR-17-3p
HSA-MIR-18A-3P	hsa-mir-18a-3p	MIMAT0002891	hsa-miR-18a-3p
HSA-MIR-19A-3P	hsa-mir-19a-3p	MIMAT0000073	hsa-miR-19a-3p
