UpperName	miRGate.name	Accession	Name
HSA-LET-7E-5P	hsa-let-7e-5p	MIMAT0000066	hsa-let-7e-5p
HSA-LET-7I-3P	hsa-let-7i-3p	MIMAT0004585	hsa-let-7i-3p
HSA-MIR-100-5P	hsa-mir-100-5p	MIMAT0000098	hsa-miR-100-5p
HSA-MIR-103A-3P	hsa-mir-103a-3p	MIMAT0000101	hsa-miR-103a-3p
HSA-MIR-106B-3P	hsa-mir-106b-3p	MIMAT0004672	hsa-miR-106b-3p
HSA-MIR-107	hsa-mir-107	MIMAT0000104	hsa-miR-107
HSA-MIR-1178-3P	hsa-mir-1178-3p	MIMAT0005823	hsa-miR-1178-3p
HSA-MIR-1178-5P	hsa-mir-1178-5p	MIMAT0022940	hsa-miR-1178-5p
HSA-MIR-1180-5P	hsa-mir-1180-5p	MIMAT0026735	hsa-miR-1180-5p
HSA-MIR-1183	hsa-mir-1183	MIMAT0005828	hsa-miR-1183
HSA-MIR-1184	hsa-mir-1184	MIMAT0005829	hsa-miR-1184
HSA-MIR-1193	hsa-mir-1193	MIMAT0015049	hsa-miR-1193
HSA-MIR-1199-3P	hsa-mir-1199-3p	MIMAT0031120	hsa-miR-1199-3p
HSA-MIR-1199-5P	hsa-mir-1199-5p	MIMAT0031119	hsa-miR-1199-5p
HSA-MIR-1204	hsa-mir-1204	MIMAT0005868	hsa-miR-1204
HSA-MIR-1205	hsa-mir-1205	MIMAT0005869	hsa-miR-1205
HSA-MIR-1207-3P	hsa-mir-1207-3p	MIMAT0005872	hsa-miR-1207-3p
HSA-MIR-1207-5P	hsa-mir-1207-5p	MIMAT0005871	hsa-miR-1207-5p
HSA-MIR-1208	hsa-mir-1208	MIMAT0005873	hsa-miR-1208
HSA-MIR-1224-3P	hsa-mir-1224-3p	MIMAT0005459	hsa-miR-1224-3p
HSA-MIR-1225-3P	hsa-mir-1225-3p	MIMAT0005573	hsa-miR-1225-3p
HSA-MIR-1225-5P	hsa-mir-1225-5p	MIMAT0005572	hsa-miR-1225-5p
HSA-MIR-1226-5P	hsa-mir-1226-5p	MIMAT0005576	hsa-miR-1226-5p
HSA-MIR-1227-3P	hsa-mir-1227-3p	MIMAT0005580	hsa-miR-1227-3p
HSA-MIR-1227-5P	hsa-mir-1227-5p	MIMAT0022941	hsa-miR-1227-5p
HSA-MIR-1228-3P	hsa-mir-1228-3p	MIMAT0005583	hsa-miR-1228-3p
HSA-MIR-1228-5P	hsa-mir-1228-5p	MIMAT0005582	hsa-miR-1228-5p
HSA-MIR-1233-3P	hsa-mir-1233-3p	MIMAT0005588	hsa-miR-1233-3p
HSA-MIR-1233-5P	hsa-mir-1233-5p	MIMAT0022943	hsa-miR-1233-5p
HSA-MIR-1234-5P	hsa-mir-1234-5p	MIMAT0022944	hsa-miR-1234-5p
HSA-MIR-1237-5P	hsa-mir-1237-5p	MIMAT0022946	hsa-miR-1237-5p
HSA-MIR-1238-5P	hsa-mir-1238-5p	MIMAT0022947	hsa-miR-1238-5p
HSA-MIR-1245B-5P	hsa-mir-1245b-5p	MIMAT0019950	hsa-miR-1245b-5p
HSA-MIR-124-5P	hsa-mir-124-5p	MIMAT0004591	hsa-miR-124-5p
