Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-GEOD-995	Transcription profiling of human acute myeloid leukemia cells to identify compounds inducing the differentiation of acute myeloid leukemia cells		Homo sapiens	115	2007-09-20	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-995/E-GEOD-995.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-995/
E-GEOD-4828	Transcription profiling of human keratinocytes treated with JNK inhibitor vs. control reveals inhibition of JNK in keratinocyte cultures in vitro induces virtually all aspects of epidermal differentiation in vivo		Homo sapiens	8	2007-10-26	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-4828/E-GEOD-4828.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-4828/
E-GEOD-6711	Transcription profiling of human U-2 osteosarcoma cell lines expressing different glucocorticoid receptor isoforms - time series		Homo sapiens	60	2008-06-15	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-6711/E-GEOD-6711.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-6711/
E-MEXP-477	Transcription profiling of thrombin stimulated human microvascular endothelial cell line-1 (HMEC1) over time and vs untreated cells		Homo sapiens	29	2006-01-20	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-477/E-MEXP-477.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-477/
E-MEXP-723	Transcription profiling of mononucleated cells cultured in EndoCult and reference media		Homo sapiens	4	2006-12-01	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-723/E-MEXP-723.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-723/
E-MEXP-741	Transcription profiling of camptothecin treatment time series performed on human U87 glioma cells		Homo sapiens	12	2006-09-30	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-741/E-MEXP-741.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-741/
E-MEXP-753	Transcription profiling of human hepatocytes in response to copper overload at nine time points		Homo sapiens	22	2007-06-01	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-753/E-MEXP-753.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-753/E-MEXP-753.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-753/
E-MEXP-952	Transcription profiling of human endothelial cells exposed to thrombin for 2 or 6 hours		Homo sapiens	63	2007-04-01	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-952/E-MEXP-952.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-952/E-MEXP-952.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-952/
E-MEXP-1213	Transcription profiling of human hepatocellular carcinoma cells Hep3B and HepG2 after treatment with the chemotherapeutic drug bleomycin		Homo sapiens	24	2009-09-01	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-1213/E-MEXP-1213.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-1213/
E-MEXP-2673	Transcription profiling by array of human HT29 colorectal cells treated with eicosapentaenoic acid		Homo sapiens	47	2011-04-12	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-2673/E-MEXP-2673.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-2673/
E-TABM-231	Transcription profiling of human MCF7 estradiol treated cells sampled at 0h, 3h, 6h, 12h, 24h after treatment identifies an extensive ER-alpha binding program on human gene promoters		Homo sapiens	8	2007-04-01	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-TABM-231/E-TABM-231.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-231/
E-TABM-873	Transcription profiling of human ependymomas at diagnosis and at relapse to investigate key molecular events involved in tumor progression		Homo sapiens	50	2010-12-31	http://www.ebi.ac.uk/arrayexpress/files/E-TABM-873/processed/	http://www.ebi.ac.uk/arrayexpress/files/E-TABM-873/raw/		http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-873/
E-TABM-929	Transcription profiling of human medullary thyroid carcinoma cell line TT sunitinib or vehicle treatment time course		Homo sapiens	6	2011-02-26	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-TABM-929/E-TABM-929.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-929/
E-TABM-1051	Gene expression profile in  breast cancer cells		Homo sapiens	20	2011-07-29	http://www.ebi.ac.uk/arrayexpress/files/E-TABM-1051/E-TABM-1051.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1051/
