Source Name	Material Type	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Comment[Array serial number]	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value[time]	Unit[TimeUnit]
CellCulture01_11	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_11	P-MTAB-18110	LabeledExtract01_11	biotin	P-MTAB-20773	Exp1RNA11a	array assay	A-AFFY-33	3002363	Exp1RNA11a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	30	hour
CellCulture01_11	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_11	P-MTAB-18110	LabeledExtract01_11	biotin	P-MTAB-20773	Exp1RNA11b	array assay	A-AFFY-34	3002363	Exp1RNA11b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixB.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	30	hour
CellCulture01_12	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_12	P-MTAB-18110	LabeledExtract01_12	biotin	P-MTAB-20773	Exp1RNA12a	array assay	A-AFFY-33	3002363	Exp1RNA12a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	33	hour
CellCulture01_12	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_12	P-MTAB-18110	LabeledExtract01_12	biotin	P-MTAB-20773	Exp1RNA12b	array assay	A-AFFY-34	3002363	Exp1RNA12b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixB.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	33	hour
CellCulture01_1	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_1	P-MTAB-18110	LabeledExtract01_1	biotin	P-MTAB-20773	Exp1RNA01a	array assay	A-AFFY-33	3002363	Exp1RNA1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	0	hour
CellCulture01_10	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_10	P-MTAB-18110	LabeledExtract01_10	biotin	P-MTAB-20773	Exp1RNA10a	array assay	A-AFFY-33	3002363	Exp1RNA10a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	27	hour
CellCulture01_1	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_1	P-MTAB-18110	LabeledExtract01_1	biotin	P-MTAB-20773	Exp1RNA01b	array assay	A-AFFY-34	3002363	Exp1RNA1b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixB.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	0	hour
CellCulture01_10	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_10	P-MTAB-18110	LabeledExtract01_10	biotin	P-MTAB-20773	Exp1RNA10b	array assay	A-AFFY-34	3002363	Exp1RNA10b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixB.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	27	hour
CellCulture01_2	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_2	P-MTAB-18110	LabeledExtract01_2	biotin	P-MTAB-20773	Exp1RNA02a	array assay	A-AFFY-33	3002363	Exp1RNA2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	3	hour
CellCulture01_2	cell	Homo sapiens	HaCat	keratinocyte	P-MTAB-18107	P-MTAB-18108	P-MTAB-18109	RNAextract01_2	P-MTAB-18110	LabeledExtract01_2	biotin	P-MTAB-20773	Exp1RNA02b	array assay	A-AFFY-34	3002363	Exp1RNA2b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.raw.1.zip	P-MTAB-18112	FinalMatrixB.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-454/E-MTAB-454.processed.1.zip	3	hour
