Accession	Time course	Time pt.s	Title	Type	Organism	Assays	Released	Processed	Raw	Views	Atlas
E-SMDB-903	Hourly for 46hrs	47	Transcription profiling of cell cycle in HeLa S3 cells, double thymidine block, experiment 3	transcriptionprofiling by array	Homo sapiens	48	22/09/2005			118	-
E-MTAB-2968	Hourly for 24hrs	25	Androgen stimulation time-course of TMPRSS2-ERG fusion positive VCaP cells	transcriptionprofiling by array	Homo sapiens	72	31/12/2014	-		30	-
E-SMDB-904	0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36	19	Transcription profiling of cell cycle in HeLa S3 cells, thymidine-nocodazole lock	transcriptionprofiling by array	Homo sapiens	19	22/09/2005			158	-
E-MTAB-454	0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33	12	Transcription profiling by array of HaCaT keratinocytes synchronised during the cell cycle and sampled at 3 hour intervals	transcriptionprofiling by array	Homo sapiens	72	31/12/2011			378	
E-TABM-1155	0, 1, 2, 3, 6, 9, 12, 15, 18, 21, 24	11	HeLa cell cycle time series - double thymidine block	transcriptionprofiling by array	Homo sapiens	22	5/5/2012	-		111	-
E-MEXP-3544	0, 0.5, 3, 6, 12, 24, 48, 72, 96	9	Transcription profiling by array of human malignant melanoma cell line, A375, following interferon-gamma-induced gene transcription	transcriptionprofiling by array	Homo sapiens	20	24/08/2012	-		318	-
E-CVDE-3	2, 4, 6, 8, 10, 12, 24, 48	8	Transcription profiling of human neuroblastoma cells with and without MYCN oncogene induction and doxorubicin treatment	transcriptionprofiling by array	Homo sapiens	15	1/6/2007			158	-
E-MEXP-389	0, 2, 4, 8, 16, 24, 48, 72	8	Transcription profiling of generic impact of protein aggregation (aggregation of proteins not associated with neurodegenerative disease) on gene expression in human cultured cells	transcriptionprofiling by array	Homo sapiens	16	20/07/2005	-		314	-
E-MTAB-846	0, 0.5, 1, 3, 6, 12, 24	7	Transcription profiling by array of human gastric epithelial cells exposed to OMPLA+ and OMPLA- Helicobacter pylori variants	transcriptionprofiling by array	Homo sapiens	26	1/1/2012			120	-
E-TABM-440	0, 1, 2, 3, 4, 6, 8	7	Transcription profiling of human keratinocytes after stimulation with recombinant human cytokines to study the events controlling cell migration)	transcriptionprofiling by array	Homo sapiens	26	7/7/2008			478	-
E-GEOD-6207	4, 8, 16, 24, 32, 72, 120	7	Transcription profiling of human HepG2 cell line overexpressing miR-124 sampled at multiple times points to study the targets and functions of miR-124	transcriptionprofiling by array	Homo sapiens	14	1/11/2007			184	-
E-MEXP-836	0, 2, 4, 8, 24, 48, 72	7	Transcription profiling of human neuroblastoma cells grown at 1, 5, or 21% oxygen and harvested at seven time points between 0 and 72 hours	transcriptionprofiling by array	Homo sapiens	21	12/6/2007	-		124	-
E-MEXP-751	0, 2, 6, 16, 24, 48, 72	7	Transcription profiling of camptothecin treatment time series performed on human DBTRG-05MG glioma cells	transcriptionprofiling by array	Homo sapiens	12	30/09/2006	-		95	-
E-MEXP-549	0, 2, 4, 6, 8, 10, 12	7	Transcription profiling by array of irradiated human MOLT4 cells	transcriptionprofiling by array	Homo sapiens	21	1/3/2006			1951	
E-MTAB-3002	2, 4, 8, 12, 24, 48	6	Antitumor lectin from Sclerotium rolfsii (SRL) induces apoptosis in human colon cancer HT29 cells by activation of multiple signaling pathways; A microarray analysis	transcriptionprofiling by array	Homo sapiens	37	14/10/2014	-		41	-
E-MEXP-3720	0, 3, 12, 24, 48, 72	6	Transcription profiling by array of human A375 melanoma cell line (ATCC, CRL-1619) to investigate the dynamic regulation and co-regulation of miRNAs and mRNAs	transcriptionprofiling by array	Homo sapiens	17	23/01/2013	-		219	-
E-MTAB-877	0, 0.5, 2, 4, 24, 48	6	Transcription profiling by array of human organotypical epithelial cell line AIR-100 to investigate the impact of smoke exposure on organotypical epithelial airway tissues (Exiqon platform)	transcriptionprofiling by array	Homo sapiens	119	1/4/2012			162	-
E-MTAB-874	0, 0.5, 2, 4, 24, 48	6	Transcription profiling by array of human organotypical epithelial cell line AIR-100 to investigate the impact of smoke exposure on organotypical epithelial airway tissues (Affymetrix platform)	transcriptionprofiling by array	Homo sapiens	118	1/4/2012			330	-
E-MTAB-619	0, 0.5, 1, 2, 4, 8	6	Full genome time series analysis of the mulitple myeloma cell line IH-1 stimulated with BMP-4/IL6 or BMP-4/IL15	transcriptionprofiling by array	Homo sapiens	24	1/12/2011	-		84	-
E-GEOD-6784	0, 20, 40, 60, 120, 240, 480 mins	6	Transcription profiling of human MCF10A mammary gland epithelial cells stimulated with epidermal growth factor vs unstimulated and sampled at multiple time points to investidage the temporal regulation of the cellular EGFR cascade	transcriptionprofiling by array	Homo sapiens	13	1/11/2007			150	-
E-GEOD-3284	0, 2, 4, 6, 9, 24	6	Transcription profiling of human leukocytes after an inflammatory stimulus (bacterial endotoxin) to identify significant functional modules perturbed in response to this stimulus using network analysis	transcriptionprofiling by array	Homo sapiens	110	2/10/2007			444	-
E-MTAB-2749	2, 4, 8, 24, 48	5	Activin regulates H3K4me3 in hPSC	transcriptionprofiling by array	Homo sapiens	30	1/1/2015			62	-
E-MTAB-1841	0, 2, 6, 8, 12	5	Transcription profiling of human neuroblastoma cell line SH-SY5Y after treatment with soluble amyloid peptides Abeta42_wt, Abeta42_G33A, Abeta40 and vehicle control for different timepoints	transcriptionprofiling by array	Homo sapiens	80	1/12/2014	-		45	-
E-MTAB-1148	4, 12, 24, 48, 72	5	Transcription profiling by array of Huh7.5 cells infected with Hepatitis C Virus Jc1	transcriptionprofiling by array	Homo sapiens	14	30/06/2012			310	-
E-MEXP-714	2, 8, 24, 48, 72	5	Transcription profiling by array of human hepatitis C virus replicon cells after treatment with interferon-alpha 2a	transcriptionprofiling by array	Homo sapiens	29	8/11/2011			536	-
