#Input Gene: The gene identifier provided in the query by the user
#Input Mirna: The miRNA identifier provided in the query by the user
#Transcript: The transcript in the prediction group
#Mirna: The miRNA in the prediction group
#ENCODE isoform: whether the isoform is the ENCODE principal isoform.
#Amplified UTR: whether the transcript UTR is known or was amplified.
#Start: The binding start position of the prediction group (if the group has more than one prediction, this is the left most position).
#Stop: The binding end position of the prediction group (if the group has more than one prediction, this is the right most position).
#Agreement: The agreement score, which is a weighted mean (using each method's experimental AUC) of the computational methods scores in the prediction group.
#Computational Predictions: number of computational methods supporting this prediction group.
#Confirmed Predictions: number of confirmed databases of gene-miRNA biding supporting this prediction group.
#Computational Predictions (method|target-site|start|stop|score): details of the computational predictions supporting this prediction group.
#Confirmed predictions (method|type|PMID): detail of the cofirmed database entries supporting this prediction group.
Input Gene,Input Mirna,Transcript,Mirna,biotype,ENCODE isoform,Amplified UTR,Start,Stop,Agreement,Computational Predictions,Confirmed Predictions,Computational Predictions (method|target-site|start|stop|score),Confirmed predictions (method|type|PMID)
ENSG00000124785,-,ENST00000244766,hsa-mir-4784,protein_coding,PRINCIPAL,false,517,542,1.09932462580615,1,0,Miranda|8mer|517|542|1.09932462580615|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-4684-5p,protein_coding,PRINCIPAL,false,2357,2379,1.25016948133314,1,0,Miranda|7mer-m8|2357|2379|1.25016948133314|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-586,protein_coding,PRINCIPAL,false,1011,1031,1.12675096317469,1,0,Miranda|8mer|1011|1031|1.12675096317469|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-586,protein_coding,PRINCIPAL,false,830,851,1.09932462580615,1,0,Miranda|N/A|830|851|1.09932462580615|;,
ENSG00000124785,-,ENST00000244766,hsa-mir-3124-3p,protein_coding,PRINCIPAL,false,583,617,1.154177300543235,2,0,Miranda|N/A|583|604|1.19531680659605|;Miranda|Offset 3-8 6mer|596|617|1.11303779449042|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-377-5p,protein_coding,PRINCIPAL,false,2292,2313,1.04447195106906,1,0,Miranda|N/A|2292|2313|1.04447195106906|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-6776-3p,protein_coding,PRINCIPAL,false,1932,1954,1.09932462580615,1,0,Miranda|8mer|1932|1954|1.09932462580615|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-1283,protein_coding,PRINCIPAL,false,2053,2074,1.12675096317469,1,0,Miranda|Offset 3-8 6mer|2053|2074|1.12675096317469|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-539-3p,protein_coding,PRINCIPAL,false,231,253,1.08561145712188,1,0,Miranda|N/A|231|253|1.08561145712188|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-3117-3p,protein_coding,PRINCIPAL,false,1737,1757,1.18160363791178,1,0,Miranda|N/A|1737|1757|1.18160363791178|;,
ENSG00000124785,-,ENST00000244766,hsa-mir-515-5p,protein_coding,PRINCIPAL,false,558,584,1.15417730054324,1,0,Miranda|N/A|558|584|1.15417730054324|;,
ENSG00000124785,-,ENST00000244766,hsa-mir-515-5p,protein_coding,PRINCIPAL,false,62,88,1.04447195106906,1,0,Miranda|N/A|62|88|1.04447195106906|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-940,protein_coding,PRINCIPAL,false,1648,1668,1.08561145712188,1,0,Miranda|7mer-m8|1648|1668|1.08561145712188|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-940,protein_coding,PRINCIPAL,false,2286,2306,1.05818511975333,1,0,Miranda|7mer-m8|2286|2306|1.05818511975333|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-3153,protein_coding,PRINCIPAL,false,694,716,1.16789046922751,1,0,Miranda|7mer-m8|694|716|1.16789046922751|;,
ENSG00000054219,-,ENST00000554112,ebv-mir-bart18-3p,protein_coding,PRINCIPAL,true,4,9,0.0,1,0,Microtar|7mer-m8|4|9|0.0|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-6889-3p,protein_coding,PRINCIPAL,false,1697,1716,1.26388265001741,1,0,Miranda|7mer-m8|1697|1716|1.26388265001741|;,
ENSG00000124785,-,ENST00000244766,ebv-mir-bart4-3p,protein_coding,PRINCIPAL,false,85,109,0.0,1,0,Miranda|Offset 3-8 6mer|85|109|0.0|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-4650-3p,protein_coding,PRINCIPAL,false,2072,2092,1.0718982884376,1,0,Miranda|7mer-m8|2072|2092|1.0718982884376|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-4296,protein_coding,PRINCIPAL,false,2030,2036,-0.877675477067982,1,0,Targetscan|7mer-m8|2030|2036|-0.877675477067982|;,
ENSG00000124785,-,ENST00000244766,hsa-mir-3167,protein_coding,PRINCIPAL,false,119,141,1.2227431439646,1,0,Miranda|7mer-m8|119|141|1.2227431439646|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-548h-5p,protein_coding,PRINCIPAL,false,514,534,1.12675096317469,1,0,Miranda|7mer-m8|514|534|1.12675096317469|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-548h-5p,protein_coding,PRINCIPAL,false,1300,1320,1.0718982884376,1,0,Miranda|7mer-m8|1300|1320|1.0718982884376|;,
ENSG00000054219,-,ENST00000554112,ebv-mir-bart6-5p,protein_coding,PRINCIPAL,true,10,15,0.0,1,0,Microtar|7mer-m8|10|15|0.0|;,
ENSG00000054219,-,ENST00000554112,ebv-mir-bart6-5p,protein_coding,PRINCIPAL,true,96,101,0.0,1,0,Microtar|Offset 1-7 8mer|96|101|0.0|;,
ENSG00000054219,-,ENST00000554112,hsa-mir-3146,protein_coding,PRINCIPAL,true,38,45,-0.8704282319763691,1,0,Rnahybrid|7mer-m8|38|45|-0.870428231976369|;,
ENSG00000241399,-,ENST00000259053,hsa-mir-377-3p,protein_coding,PRINCIPAL,false,1030,1051,1.11303779449042,1,0,Miranda|8mer|1030|1051|1.11303779449042|;,
ENSG00000124785,-,ENST00000244766,hsa-mir-194-5p,protein_coding,PRINCIPAL,false,733,754,1.20902997528032,1,0,Miranda|8mer|733|754|1.20902997528032|;,
ENSG00000124785,-,ENST00000244766,ebv-mir-bart13-3p,protein_coding,PRINCIPAL,false,-3,2,0.0,1,0,Microtar|7mer-m8|-3|2|0.0|;,
ENSG00000124785,-,ENST00000244766,ebv-mir-bart13-3p,protein_coding,PRINCIPAL,false,963,968,0.0,1,0,Microtar|7mer-m8|963|968|0.0|;,
ENSG00000124785,-,ENST00000244766,hsa-mir-579-3p,protein_coding,PRINCIPAL,false,168,192,1.20902997528032,1,0,Miranda|Offset 3-8 6mer|168|192|1.20902997528032|;,
